Work,Amount,Category,Date
Success Tutoring,"₱16,517.00",Part-time,"January 12, 2025"
Success Tutoring,"₱16,396.69",Part-time,"January 13, 2025"
BPI Competition,"₱8,985.00",Others,"January 14, 2025"
Success Tutoring,"₱16,597.58",Part-time,"January 26, 2025"
Success Tutoring,"₱16,645.95",Part-time,"February 9, 2025"
Megaworld Scholarship,"₱12,500.00",Scholarship,"February 10, 2025"
Success Tutoring,"₱16,421.97",Part-time,"February 23, 2025"
DOST,"₱29,000.00",Scholarship,"February 25, 2025"
Success Tutoring,"₱16,475.32",Part-time,"March 9, 2025"
Success Tutoring,"₱16,547.77",Part-time,"March 23, 2025"
Success Tutoring,"₱8,217.78",Part-time,"April 6, 2025"
BPI,"₱8,750.00",Internship,"April 30, 2025"
DOST,"₱8,000.00",Scholarship,"May 7, 2025"
Success Tutoring,"₱16,532.27",Part-time,"May 18, 2025"
Success Tutoring,"₱16,527.21",Part-time,"June 1, 2025"
Success Tutoring,"₱16,723.16",Part-time,"June 15, 2025"
Success Tutoring,"₱16,909.78",Part-time,"June 29, 2025"
Success Tutoring,"₱16,945.37",Part-time,"July 13, 2025"
Success Tutoring,"₱17,108.36",Part-time,"July 27, 2025"
Success Tutoring,"₱16,953.68",Part-time,"August 10, 2025"
Success Tutoring,"₱16,739.86",Part-time,"August 24, 2025"
DOST,"₱11,000.00",Scholarship,"September 5, 2025"
Success Tutoring,"₱17,244.42",Part-time,"September 9, 2025"
UnionBank,"₱34,800.00",Full-time,"September 12, 2025"
Success Tutoring,"₱17,244.42",Part-time,"September 24, 2025"
UnionBank,"₱5,256.90",Full-time,"September 26, 2025"
Success Tutoring,"₱17,378.98",Part-time,"October 5, 2025"
UnionBank,"₱25,043.10",Full-time,"October 13, 2025"
Success Tutoring,"₱17,249.44",Part-time,"October 19, 2025"
UnionBank,"₱15,150.00",Full-time,"October 28, 2025"
Success Tutoring,"₱17,349.68",Part-time,"November 2, 2025"
UnionBank,"₱13,354.84",Full-time,"November 7, 2025"
UnionBank,"₱18,000.00",Full-time,"November 13, 2025"
Success Tutoring,"₱17,472.38",Part-time,"November 16, 2025"
UnionBank,"₱15,150.00",Full-time,"November 28, 2025"
Success Tutoring,"₱17,928.06",Part-time,"November 30, 2025"
Ate Bayad,"₱9,500.00",Others,"December 12, 2025"
UnionBank,"₱18,000.00",Full-time,"December 12, 2025"
Success Tutoring,"₱17,924.87",Part-time,"December 15, 2025"
UnionBank,"₱15,150.00",Full-time,"December 26, 2025"
Success Tutoring,"₱18,027.53",Part-time,"December 29, 2025"